"condition","location","Mean(price)","Median(price)","Min*(price)","Max*(price)","Count*(price)"
"is_gently_used","Asia",537.4739952718679,456.5,39,7315,846
"is_gently_used","Australia/NZ",435.84375000000017,272.5,100,1999,32
"is_gently_used","Canada",286.0333333333335,165.5,13,1620,90
"is_gently_used","Europe",160.41546762589928,85,9,2500,556
"is_gently_used","Other",302.46153846153845,200,30,1300,13
"is_gently_used","United Kingdom",1480.2857142857144,375,100,29950,28
"is_gently_used","United States",341.9848484848486,220,13,18820,726
"is_new","Asia",799.0068337129841,615,144,11077,439
"is_new","Australia/NZ",589.75,462.5,234,1200,4
"is_new","Canada",964.7391304347824,795,162,2000,23
"is_new","Europe",656.8774193548387,560,45,2848,155
"is_new","Other",686,540,230,1300,5
"is_new","United Kingdom",599.8571428571429,485,195,2750,42
"is_new","United States",718.4813753581662,513,30,20000,349
"is_used","Asia",189.5350966429297,160,12,2300,983
"is_used","Australia/NZ",426.6000000000001,200,50,4000,25
"is_used","Canada",215.2439024390244,80,15,4050,41
"is_used","Europe",104.0758293838863,60,15,795,211
"is_used","Other",285.30000000000007,214.5,25,633,20
"is_used","United Kingdom",422.66666666666663,280.5,115,1390,6
"is_used","United States",234.40466101694946,65,14,26000,472
"is_worn","Asia",165.14444444444442,165,55,489,90
"is_worn","Canada",173.33333333333334,210,65,245,3
"is_worn","Europe",91.39999999999999,52,15,400,10
"is_worn","Other",558,234,90,1350,3
"is_worn","United States",153.61538461538458,107.5,15,648,26
